segment	best	score
the EU market is attractive to Japanese exporting producers (recitals (81) - (90) above).	The Union market has always been attractive to Chinese exporting producers of TPF.	64
During the period considered, the decrease of the average price of the imports was around 7,6%.	During the period considered the average labour cost per employee decreased by 6%.	66
Nova Scotia	Province of Nova Scotia:	63
The system of airport charges and the discounts and rebates were applicable to all airlines using, or liable to use, Timișoara International Airport which met the conditions described in the 2007 AIP, 2008 AIP or 2010 AIP respectively.	The applicable legal framework was therefore the airport charges, discounts and rebates applicable at Timișoara International Airport set by the 2007 AIP, 2008 AIP and 2010 AIP respectively.	68
Decreto-Lei n. ° 464/82, of 27 March (Diário da República n. ° 283/1982, Série I of 9.12.1982).	Decreto-Lei n. ° 137-A/2009, of 12 June (Diário da República, 1.a série, n. ° 112, of 12.6.2009).	69
The following person (s) is (are) having debts towards the person concerned by this request:	The following products are not covered by this investigation:	60
Data Quality Monitoring	Monitoring	61
"""Biological agents"";"	"""Propellants"""	63
deemed agreement as described in paragraph 10.	B82 In estimating the yield curve described in paragraph B81:	60
Clinical investigation of medical devices for human subjects - Good clinical practice (ISO 14155: 2020) ’	Biological evaluation of medical devices - Part 23: Tests for irritation (ISO 10993-23: 2021)	60
Assistance in relation to claims	Assistance to carriers	67
Following the disclosure of the essential facts and considerations on the basis of which a provisional anti-dumping duty was imposed (‘ provisional disclosure ’), users, unrelated importers, the sampled exporting producers and the Government of the People ’ s Republic of China ('GOC') made written submissions making their views known on the provisional findings.	Following the disclosure of the essential facts and considerations on the basis of which a provisional anti-dumping duty was imposed (‘ provisional disclosure ’), the complainants, the sampled exporting producers, a non-sampled exporting producer, several users in the automotive heat exchanger sector and one downstream user, one user in the foil sector, two users in the electrolytic capacitor sector, one user in the aluminium composite panel sector, one user in the venetian blind sector and its supplier, an unrelated trader, an importer, the European Association for Automotive Suppliers, the European automobile manufacturers association and the Government of the People ’ s Republic of China (‘ GOC ’) made written submissions making their views known on the provisional findings.	62
amending Implementing Regulation (EU) No 282/2011 as regards the VAT and/or excise duty exemption certificate	amending Implementing Regulation (EU) No 543/2011 as regards marketing standards in the fruit and vegetables sector	70
See further analysis in Section 6.3.1.	See also Annex II, section 3.1.	61
Side impact	Lateral impact	64
EFSA GMO Panel (EFSA Panel on Genetically Modified Organisms), 2020. Scientific Opinion on application EFSA-GMO-NL-2016-132 for authorisation of genetically modified of insect-resistant and herbicide-tolerant soybean DAS – 81419 – 2 × DAS – 44406 – 6 for food and feed uses, import and processing submitted in accordance with Regulation (EC) No 1829/2003 by Dow Agrosciences LCC. EFSA Journal 2020; 18 (11): 6302, 37 pp.; https:// doi.org/10.2903/j.efsa.2020.6302	EFSA GMO Panel, 2020. Scientific Opinion on the statement complementing the EFSA Scientific Opinion on application (EFSA-GMO-NL-2009-75) for placing on the market of genetically modified oilseed rape Ms8 × Rf3 × GT73 and subcombinations, which have not been authorised previously (i.e. Ms8 × GT73 and Rf3 × GT73) independently of their origin, for food and feed uses, import and processing, with the exception of isolated seed protein for food, under Regulation (EC) No 1829/2003), taking into consideration additional information; EFSA Journal 2020; 18 (7): 6200; https:// doi.org/10.2903/j.efsa.2020.6200.	60
This message is sent when the dome of the VMS terminal is opened	This message is sent just before the VMS terminal stops operating when the battery has run down	64
Net movement in deferred tax arising from regulatory deferral account balances related to profit or loss	Net movement in regulatory deferral account balances related to profit or loss and net movement in related deferred tax [abstract]	67
However, no costs of production and sale of the product under investigation could be established as undistorted in light of the evidence available on the factors of production of individual exporting producers.	However, as evidenced in sections 3.2.1.2 to 3.2.1.9, the Commission has established the existence of distortions in the Ace-K industry and there was no positive evidence as to the factors of production of individual exporting producers being undistorted.	60
between 9 and 12 months	between FL and	65
0256070 Thyme	0500070 Rye	67
a fully functioning fundamental rights monitoring system in line with Article 110 of Regulation (EU) 2019/1896 is established;	"""fundamental rights monitor"" means fundamental rights monitor as provided for in Article 110 of Regulation (EU) 2019/1896;"	67
Exercise of the Ombudsman ’ s duties	Exercise of the delegation	65
the provisional amount allocated to each programme;	a third country associated to the Programme; or	63
All issues arising in connection with the application of this Agreement shall be examined jointly by representatives of EUTM Somalia and the Host State ’ s competent authorities.	Failing any prior settlement, disputes concerning the interpretation or application of this Agreement shall be settled exclusively by diplomatic means between the Host State and EU representatives.	60
Technological neutrality, appropriateness and proportionality of the measure	Necessity and proportionality of the aid	60
However, if agreed by both Parties, this Protocol shall be extended for an additional period of two years.	The chairperson of the Scientific Committee shall be elected for a period of two years.	60
Description of current and former way of aggregating assets	Description of nature of contingent assets	67
This appropriation is intended to cover the transitional allowance after the end of a Member ’ s term of office.	This appropriation is intended to cover the expenditure for the operation of the medical service.	70
The sound power of the equivalent source is expressed by:	the sound power of the real source	70
Table 7: Reductions in airport charges (2008 AIP)	Table 4: 2007 AIP airport charges (in EUR)	64
Will to participate (more) in education and training	Participants gaining a certificate in adult training	60
Regulation (EC) No 2111/2005 of the European Parliament and of the Council of 14 December 2005 on the establishment of a Community list of air carriers subject to an operating ban within the Community and on informing air transport passengers of the identity of the operating air carrier, and repealing Article 9 of Directive 2004/36/EC (OJ L 344, 27.12.2005, p. 15), as amended by:	Regulation (EU) No 996/2010 of the European Parliament and of the Council of 20 October 2010 on the investigation and prevention of accidents and incidents in civil aviation and repealing Directive 94/56/EC (OJ L 295, 12.11.2010, p. 35), as amended by:	65
Other variable costs	Recoverable costs	70
Construction manager	Introduction for management	68
Energy efficiency, Water, waste	CBA for energy efficiency measure	66
Having regard to Regulation (EU) No 472/2013 of the European Parliament and of the Council of 21 May 2013 on the strengthening of economic and budgetary surveillance of Member States in the euro area experiencing or threatened with serious difficulties with respect to their financial stability, and in particular Article 2 (1) thereof,	Having regard to Regulation (EU) No 528/2012 of the European Parliament and of the Council of 22 May 2012 concerning the making available on the market and use of biocidal products, and in particular Article 28 (1) thereof,	69
other aspects of relevance for the specific situation.	the governance of the specific situational picture, including:	60
Finally, the Commission also carefully considered the information reported under financial income and financial expense.	In 2026, the Commission shall review the information provided in the performance reports for financial year 2025.	60
Former head of the “ Donetsk People ’ s Republic ” Central Electoral Commission.	Former Head of the Sevastopol Electoral Commission.	69
The Joint Undertaking shall adopt the necessary measures needed to facilitate internal investigations conducted by OLAF.	The Union shall take the necessary measures in order to determine the relevant items to be covered by this Article. ’;	61
Article 6 (1) of the basic Regulation allows for deviation in justified cases such as the current one.	Pursuant to Article 7 (1) of the basic Regulation, the deadline for the imposition of provisional measures was 18 June 2021.	60
Projects and activities shall be included in the Ministry ’ s activity report.	The criteria used shall be included in the notification.	60
Customs office …	Customs duties	67
Spain: EUR 354,73,	Bulgaria: EUR 636,13,	62
Commission notice to the Member States of 16 May 1995 laying down guidelines for an initiative in the framework of the special support programme for peace and reconciliation in Northern Ireland and the border counties of Ireland (Peace I) (OJ C 186, 20.7.1995, p. 3).	Commission communication to the European Parliament, the Council, the Economic and Social Committee and the Committee of the Regions of 26 November 1997 on the special support programme for peace and reconciliation in Northern Ireland and the border counties of Ireland (1995 to 1999) (Peace I) (COM (97) 642).	67
Given the forecasted increases in wind energy installations in the Union (see footnote 167), the Commission found the claim unsubstantiated.	As to taxpayers, the forecasted increases in wind energy installations in the Union are expected to benefit communities hosting projects through taxes and other returns.	64
Separated from the production environment;	Avoid release of the product to the environment.	67
On the berthing priority	The berthing priority (measure 5);	69
Other cash inflows	Other office machines	62
For the purposes of this paragraph, the first annual reporting period shall cover the year 2023.	For the purpose of this paragraph, decisions of the Governing Board shall be taken by a qualified majority.	65
Other information: medical doctor, daughter of Naïma EL KEFI, married to Slim ZARROUK	Other information: daughter of Hayet BEN ALI, married to Badreddine BENNOUR	66
See: http:// www.cnfa.net.cn/about/1546.aspx (accessed on 21 July 2020).	Source: http:// www.wusuobuneng.cn/archives/22266 (accessed on 25 August 2017).	62
Insurance service result	Insurance revenue	68
Differences in spectrum access conditions may prevent their free movement, increase their production costs and create risks of harmful interference with other radio applications and services due to unauthorised use.	Differences in spectrum access conditions in the internal market risk creating harmful interference with other radio applications and services, prevent their free movement, and increase their production costs.	68
RON	RNG	67
As explained in recitals (158) to (165), based on the substantial excess capacity of the Indonesian producers, the domestic market situation in Indonesia and the attractiveness of the Union market for Indonesian exporting producers, the Commission concluded that there is a strong likelihood that the expiry of the anti-dumping measures would result in an increase of exports.	Based on the significant overcapacity in the PRC and the attractiveness of the Union market for Chinese exporting producers, as evidenced by the third country export prices and circumvention practices, the Commission concluded that there is a strong likelihood that the expiry of the anti-dumping measures would result in an increase of dumped exports.	69
In case of outsourcing, the value of marketed production shall be calculated at the ‘ ex-producer organisation, association of producer organisations, transnational producer organisation, transnational association of producer organisations or producer group ’ stage and shall include the added economic value of the activity that has been outsourced by the producer organisation, association of producer organisations, transnational producer organisation, transnational association of producer organisations or producer group to its members, third parties or to another subsidiary than the one referred to in paragraph 7.	Only products for which the producer organisation, association of producer organisations, transnational producer organisation, transnational association of producer organisations or producer group is recognised shall be covered by the type of intervention provided that the value of the products covered by the operational programme account for more than 50% of the value of all products marketed by that organisation in the sector covered by that operational programme.	62
Payments for debt issue costs	Arrangements for trade in goods	60
Participants in the Joint Cyber Unit should focus on technical and operational cooperation, including joint operations.	Participants in the platform should have either an operational or supporting role.	60
the entry for Denmark is deleted;	the entry from Denmark is replaced by the following:	68
Moreover, the applicant argued that the company identified by the Commission in Thailand was in fact not a TPF producer and proposed three other companies.	Moreover, the applicant argued that none of the three companies identified by the Commission in the First Note were genuine producers of TPF.	69
Fifth, Xiamen Xiashun commented that in recital (205) of the provisional Regulation the Commission indicated that Xiamen Xiashun has established a joint venture with a state owned enterprise (‘ SOE ’), concluding that it was closely cooperating with the Chinese State and that the country-wide distortions also concern its suppliers.	Fourth, Xiamen Xiashun observed that in recital (198) of the provisional Regulation, the Commission indicated that Xiamen Xiashun received certain awards or formal recognitions meaning it needed to meet eligibility requirements in order to receive them, including following the official line of the GOC and complying with the official governmental strategies and policies.	61
Booking of the trip: booking channel for the main means of transport	in the case of transport of bovine animals, the means of transport:	62
investment made in parallel with a Circular Bio-based Europe Joint Undertaking project, complementing the results of the project and bringing it to a higher TRL;	investments needed for the deployment of a Circular Bio-based Europe Joint Undertaking project ’ s results following the closure of the project until the winding up of the Circular Bio-based Europe Joint Undertaking.	63
Description of level of fair value hierarchy within which fair value measurement is categorised	Description of inputs used in fair value measurement, assets	63
1920-1980 MHz	5250-5350 MHz	62
for operations consisting of investment in physical assets not falling under point (c), the total public support of which exceeds EUR 50000, or in the case of support in the form of financial instruments, including working capital finance, the total cost of which exceeds EUR 500000, by placing an explanatory plaque or equivalent electronic display with information about the project, highlighting the financial support from the Union, presenting also the Union emblem in accordance with the technical characteristics laid down in Annex II;	for operations consisting of the financing of infrastructure or construction operations, of which the total public expenditure, or the total cost in the case of support in the form of financial instruments, including working capital finance, exceeds EUR 500000, by displaying durable plaques or billboards clearly visible to the public, that present the Union emblem in accordance with the technical characteristics laid down in Annex II, as soon as the physical implementation of the operations starts or purchased equipment is installed;	64
https:// www.sinosure.com.cn/en/Sinosure/Profile/index.shtml, last accessed on 18 August 2021.	http:// www.cm2025.org/show-14-126-1.html, last accessed on 6 August 2021.	67
In their comments on final disclosure, the FTT group and CCCME claimed that the Commission did not explain the source of the 10% profit margin and if this amount was reasonable and prevailing in the market.	In their comments following final disclosure, Arteco, Helm, and Oxyde claimed that the Commission, by imposing definitive measures, did not act in the Union interest.	61
Total number of instruction hours	Total number of identified staff	68
Non Alloy and Other Alloy Cold Rolled Sheets	Non Alloy and Other Alloy Merchant Bars and Light Sections	65
M = inclusion mandatory;	O = inclusion optional.	64
in the visa application procedure in accordance with Article 15; or	the management reporting, in accordance with Article 15;	68
‘ international protection ’ means international protection as defined in Article 2, point (a), of Directive 2011/95/EU.	Cogeneration is defined in Article 2 point 30 of Directive 2012/27/EU.	66
The gross carrying amount of the stock of non-performing loans and advances at the end of the last financial year	Total gross carrying amount of non-performing exposures - Past due > 1 year	63
Contingent consideration recognised as of acquisition date	Technology-based intangible assets recognised as of acquisition date	70
Failure to ensure proper implementation of national correspondents ’ tasks.	In order to ensure proper implementation of this Protocol, several categories of personal data shall be processed:	62
Solid-state imaging devices and image intensifiers tubes having a fast image gating (shutter) time of 50 ns or less specially designed for cameras specified in 6A203.c.1.;	Synchronizing electronics units, rotor assemblies consisting of turbines, mirrors and bearings specially designed for cameras specified in 6A203.a.1.;	60
In all cases, an entity may use this condition to designate financial assets or financial liabilities as at fair value through profit or loss only if it meets the principle in paragraph 4.1.5 or 4.2.2 (a):	Description of reasons for designation or de-designation of financial assets or financial liabilities as measured at fair value through profit or loss at date of initial application of IFRS 9	64
Delegated decisions pursuant to Article 3 of Decision (EU) 2021/1442 (ECB/2021/38) concerning the extension of the maximum period for concluding a proposed acquisition that involve significant supervised entities as defined in point (16) of Article 2 of Regulation (EU) No 468/2014 of the European Central Bank (ECB/2014/17) shall be adopted by the Director General or the Deputy Director General of the Directorate General SSM Governance and Operations – or if they are unavailable, the Head of the Authorisation Division – and one of the following heads of work units:	Delegated decisions pursuant to Article 3 of Decision (EU) 2021/1442 (ECB/2021/38), with the exception of those on the extension of the maximum period for concluding a proposed acquisition set out in a qualifying holding decision as such decisions are defined in point (3) of Article 1 of Decision (EU) 2019/1376 of the European Central Bank (ECB/2019/23), shall be adopted by one of the following heads of work units:	68
Such identification shall constitute the signature of the document concerned.	Such notifications shall be accepted without additional costs, irrespective of the means of communication being used.	60
as adapted to the EEA Agreement by point 4 (d) of the Protocol 1 to the EEA Agreement,	Having regard to the Act referred to at Point 13j of Part 1.1 of Chapter I of Annex I to the EEA Agreement,	60
The concept of undertaking	The total number of undertakings scrutinised:	62
For the calculation of the pro rata benefit referred to in point (b) of Article SSC.47 (1) of this Protocol, special increments for contributions for supplementary insurance and the miners' supplementary benefit under Austrian legislation shall be disregarded.	In those cases the pro rata benefit calculated without those contributions shall, if appropriate, be increased by unreduced special increments for contributions for supplementary insurance and the miners' supplementary benefit.	64
Credit institutions shall calculate and disclose:	Institutions shall disclose:	70
Commission Implementing Decision (EU) 2017/2174 of 20 November 2017 amending Annex E to Council Directive 92/65/EEC as regards the health certificate for trade in bees and bumble bees is to be incorporated into the EEA Agreement.	Commission Implementing Regulation (EU) 2018/1293 of 26 September 2018 amending Implementing Regulation (EU) 2017/2470 as regards the conditions of use of the novel food lactitol is to be incorporated into the EEA Agreement.	68
The amounts referred to in point (a) (iv) of Article 2 (2) of Regulation (EU) 2020/2094 shall constitute external assigned revenue as set out in Article 3 (1) of that Regulation.	Segregated accounts are defined in point (49) of Article 4 (1) of Regulation (EU) 2019/2033 for the purposes of Table 1 in Article 15 (2) of that Regulation.	68
1 or more	North Korea	60
For the purpose of implementing the procedures referred to in Articles 530, 531, 534 and 537, technical and procedural specifications are laid down in Annex 39.	For the purposes of the supply of data as referred to in Articles 530, 531 and 534, the States shall designate national contact points.	63
Net amount arising from insurance contracts [member]	[Refer: Insurance contracts [member]]	70
The main purpose of Amendment 17 to Volume I of Annex 14 to the Chicago Convention is to exclude general aviation from the rescue and firefighting (RFF) provisions.	The main purpose of Amendment 91 to Volume IV of Annex 10 to the Chicago Convention is to introduce Airborne Collision Avoidance System (ACAS) X and to reduce the occurrence of false ACAS alerts.	66
TRANSITION PROVISIONS AND EFFECTIVE DATE	TRANSITIONAL PROVISIONS	67
‘ regular daily rest period ’ is a continuous rest period of at least 11 hours.	"""regular weekly rest period"" means any period of rest of at least 45 hours;"	67
amending Implementing Decision (EU) 2016/2323 establishing the European List of ship recycling facilities pursuant to Regulation (EU) No 1257/2013 of the European Parliament and of the Council	amending Decision (EU) 2018/1220 on the rules of procedure of the panel referred to in Article 143 of Regulation (EU, Euratom) 2018/1046 of the European Parliament and of the Council	67
They should correspond to the Union share agreed under the Trade and Cooperation Agreement.	seek agreement on the modalities of a review under Article 510 of the Trade and Cooperation Agreement.	65
The sampled Union producers accounted for 46% of the estimated total production in the Union in the review investigation period.	The sample represented approximately 47% of the total exports to the Union during the investigation period.	69
The Commission established that these product types were representative.	The Commission established that one of the sampled producers, Özpekler, benefited from this scheme.	67
Number of sampling activities planned	Number of participants in training activities.	63
in the table following paragraph 8, Section 6 is deleted, and Section 7 is replaced by the following:	in paragraph 2, the seventh indent is replaced by the following:	68
Following the publication of the call for nominations in the Official Journal of the European Union, the Ombudsman shall be chosen from persons who:	It shall take effect the day following the publication of the decision in the Official Journal of the European Union or at a later date specified therein.	66
Articles of leather;	Article 3 is deleted;	68
Secondly, borrowing costs have been kept artificially low to stimulate investment growth.	Secondly, borrowing costs have been kept artificially low to stimulate investment growth. This has led to the excessive use of capital investment with ever lower returns on investment.	65
for the purposes of monitoring compliance with the limit laid down in Article 147 (5) (a) (ii) of Regulation (EU) No 575/2013 the institution has in place adequate procedures and mechanisms for the following:	When assessing compliance with the overall requirements for estimation laid down in Article 179 of Regulation (EU) No 575/2013, the data used for the quantification of risk parameters and the quality of that data, competent authorities shall verify:	60
Approval for deviation	Applied for data on	68
Article 48 of Implementing Regulation (EU) 2019/627 lays down conditions for health marking.	Article 10 of Implementing Regulation (EU) 2020/2236 is replaced by the following:	67
Trimethylhydrazine (CAS 1741-01-1);	Allylhydrazine (CAS 7422-78-8);	70
The company requested the Commission to confirm that the change of name does not affect the right of the company to benefit from the individual anti-dumping duty rate applied to it under its previous name.	The request must contain all the relevant information enabling to demonstrate that the change does not affect the right of the company to benefit from the duty rate which applies to it.	66
Intended principal place of business of the branch in the host Member State:	The principal place of business of a joint venture.	66
In Cataluña, a call for tender was published in the Official Journal of the European Union on 3 August 2018 for the transmission and distribution of audio-visual signals to cover the population of Cataluña in Area II.	In the present case, the call for expression of interest was published in the Official Journal of the European Union, as well as in the national and regional Official Journal and in national newspapers (see recital (56)).	60
Council Decision 2014/115/EU of 2 December 2013 on the conclusion of the Protocol Amending the Agreement on Government Procurement (OJ L 68, 7.3.2014, p. 1).	Council Decision 2001/886/JHA of 6 December 2001 on the development of the second generation Schengen Information System (SIS II) (OJ L 328, 13.12.2001, p. 1).	65
Planar	Poland	67
Following provisional disclosure, ÇİB expressed concern about a drop of quality and innovation in the Union market as a result of the measures.	Following provisional disclosure, the GOT contested the Commission ’ s comments regarding the recovery of the Union industry in 2017 as a result of trade remedies.	61
The Dingsheng Group thus claimed that this raw material will be sourced from other countries.	The Dingsheng Group thus claimed that the dumping margin in the request was unreliable as it was based on incorrect figures.	63
Description of reason why presentation currency is different from functional currency	Description of accounting policy for functional currency [text block]	61
Where appropriate, information may be provided in the form of charts or flow diagrams.	Where appropriate, a description shall be provided of the procedure to be applied to weight the risk factors.	62
Xiamen Xiashun argued that its wages are significantly higher than those of its competitors.	Xiamen Xiashun submitted that significant distortions meet none of the three criteria.	62
the amount recovered during the current period as referred to in paragraph 2 of this Article, in respect of the CAP Strategic Plan;	In addition to the information referred to in paragraph 1 of this Article, any request under Article 665 shall contain:	62
The EIT shall continuously monitor the implementation of those strategies, including the leverage effect on the ESIF.	The EUSR shall be responsible for the implementation of the mandate, acting under the authority of the HR.	63
This member stands for insurance contracts to which the premium allocation approach has been applied.	The amount of financial assets to which the overlay approach is applied.	64
The number of containers may be the number of bottles.	the number of containers in the consignment;	67
The whole country of Ukraine excluding the area UA-2	the whole region of Vidin, excluding the areas in Part III.	67
At least one informal learning activity job-related	Type of the first non-formal learning activity	64
M 01.00 - Key metrics for MREL and TLAC (resolution groups/entities) (KM2)	M 06.00 - Creditor ranking (resolution entities) (TLAC3)	63
Searches performed in accordance with paragraphs 1 and 3 of this Article shall return the data referred to in the third subparagraph of Article 65 (3) of Regulation (EU) 2018/1240.	The verifications and confirmations provided for in paragraphs 3 and 4 of this Article shall be conducted ex post, in accordance with Article 51 (4) of Regulation (EU) 2018/1240.	66
Due to the fact that the assessment of those active substances has been delayed for reasons beyond the control of the applicants, the approvals of those active substances are likely to expire before a decision has been taken on their renewal.	Consequently, for reasons beyond the control of the applicant, the approval of dinotefuran for use in biocidal products of product-type 18 is likely to expire before a decision has been taken on its renewal.	68
As the competent authority is carrying out a full evaluation of the application, in accordance with Article 14 (3) of Regulation (EU) No 528/2012, the European Chemicals Agency (‘ the Agency ’) is to prepare and submit to the Commission an opinion on renewal of the approval of the active substance within 270 days of receipt of the recommendation from the evaluating competent authority.	Within 270 days of receipt of a recommendation from the evaluating competent authority, the European Chemicals Agency (‘ the Agency ’) is to prepare and submit to the Commission an opinion on renewal of the approval of the active substance in accordance with Article 14 (3) of Regulation (EU) No 528/2012.	65
In 2026, the Commission shall review the information provided in the performance reports for financial year 2025.	The Commission shall carry out a biennial performance review based on the information provided in the annual performance reports.	65
type of eligible applicants;	Other MREL eligible liabilities	61
For Ireland: anglerfish in 6; United Kingdom and international waters of 5b; international waters of 12 and 14; anglerfish in 7; Norway lobster in functional unit 16 of subarea 7.	6; United Kingdom and international waters of 5b; international waters of 12 and 14	63
A choice of yes/no to be selected to indicate whether the product is allowed for use under Article 116 of Regulation (EU) 2019/6.	No notice of opposition has been received by the Commission under Article 27 (1) of Regulation (EU) 2019/787.	61
the amount of the claim is below the threshold.	This BEMP is very relevant for the SMEs (below the IED threshold).	62
The commercial document or, as appropriate, the health certificate accompanying the processed animal protein derived from porcine animals in accordance with Article 21 (2) of Regulation (EC) No 1069/2009, the label of that processed animal protein derived from porcine animals, and the label of compound feed containing processed animal protein derived from porcine animals shall be clearly marked in accordance with Chapter V, Section G of this Annex.	The commercial document or, as appropriate, the health certificate accompanying the processed animal protein derived from farmed insects, porcine animals or poultry in accordance with Article 21 (2) of Regulation (EC) No 1069/2009, and the label of that processed animal protein derived from farmed insects, porcine animals or poultry shall be clearly marked with the following words: “ Processed animal protein derived from … [please insert relevant farmed animals from which the processed animal protein is derived listed in the first column of Table 1] – shall not be used in feed for farmed animals except … [please insert corresponding farmed animals to which the processed animal protein may be fed listed in the second column of Table 1] ”;	66
The Partnership Council may also seize itself of the matter.	The Partnership Council shall have the power to:	67
Products or devices containing any of the foregoing.	Pyroelectric detectors using any of the following:	65
Any suspension of preferential tariff treatment shall be terminated as soon as possible after the customs authority of the importing Party has ascertained the originating status of the products concerned, or the fulfilment of the other requirements of this Chapter.	Subsequent verifications of proofs of origin shall be carried out at random or whenever the customs authorities of the importing Party have reasonable doubts as to the authenticity of such documents, the originating status of the products concerned or the fulfilment of the other requirements of these Rules.	70
The coordinated package may include:	The database shall include:	67
This member stands for a valuation technique consistent with the income approach.	This member stands for long-term contracts with customers.	66
As indicated by the competent authority, the alternative procedure for treating an existing microbiological contamination is manual removal in-tank, following defueling and purging of the aircraft.	As indicated by the competent authority, there are no alternatives for the treatment of microbiological contamination of aircraft fuel tanks and fuel systems.	68
Council Regulation (EC) No 332/2002 of 18 February 2002 establishing a facility providing medium-term financial assistance for Member States ’ balances of payments (OJ L 53, 23.2.2002, p. 1).	Council Regulation (EC) No 2012/2002 of 11 November 2002 establishing the European Union Solidarity Fund (OJ L 311, 14.11.2002, p. 3).	62
Website: http:// www.moee.gov.mm/en/ignite/page/40	Website: http:// www.belshinajsc.by /	60
The Commission had not requested this information from TPL either.	The Commission shall make this information available on the internet.	67
Business Services – investigation services	The supply of investigation services.	68
no IF sub-sector referred to in paragraph 2 shall be excluded.	The terms and conditions referred to in paragraph 1 shall include:	67
"""arbitration tribunal"" means a tribunal established under Article 740 of this Agreement;"	"""complaining Party"" means any Party that requests the establishment of an arbitration tribunal under Article 739 of this Agreement;"	62
Party for which the suspension is lifted	Population from which the selection is made:	64
Expenditure eligible for operating support	The entire disclosure for operating segments.	60
Spare room lodgers	Storeroom No	60
Proportion of voting rights held in joint venture	The proportion of the voting rights in an associate held by the entity.	63
gmina Ropczyce, część gminy Ostrów położona na południe od linii wyznaczonej przez drogę nr A4 biegnącą od zachodniej granicy gminy do skrzyżowania z drogą nr 986, a następnie na wschód od linii wyznaczonej przez drogę nr 986 biegnącą od tego skrzyżowania do miejscowości Osieka i dalej na wschód od linii wyznaczonej przez drogę łączącą miejscowości Osieka_- Blizna, część gminy Sędziszów Małopolski położona na północ od linii wyznaczonej przez drogę nr 94 w powiecie ropczycko – sędziszowskim,	część gminy Wołów położona na północ od linii wyznaczonej prze drogę nr 339 biegnącą od wschodniej granicy gminy do miejscowości Pełczyn, a następnie na północny - wschód od linii wyznaczonej przez drogę biegnącą od skrzyżowania z drogą nr 339 i łączącą miejscowości Pełczyn – Smogorzówek, część gminy Wińsko polożona na wschód od linii wyznaczonej przez drogę nr 36 biegnącą od północnej granicy gminy do miejscowości Wińsko, a nastęnie na wschód od linii wyznaczonej przez drogę biegnącą od skrzyżowania z drogą nr 36 w miejscowości Wińsko i łączącą miejscowości Wińsko_- Smogorzów Wielki – Smogorzówek w powiecie wołowskim,	64
connect via another entity which has concluded a contract with an NSP within the framework of the concession contract with that NSP.	have concluded a contract with an NSP within the framework of the concession contract with that NSP in order to establish a technical connection to TARGET2- [insert name of CB]; or	62
1 Entire content of the package ’ (2) in point C.3.3.1., point (a) is replaced by the following:	in point 1.4, point (a) is replaced by the following:	70
The amount of aggregate deemed cost of investments in subsidiaries, joint ventures or associates for which deemed cost is their previous GAAP carrying amount in the entity's first IFRS financial statements.	The amount of investments in subsidiaries, joint ventures and associates in an entity's separate financial statements.	67
for construction and operation of pipelines and associated infrastructure for distributing heating and cooling, the system meets the definition of efficient district heating and cooling systems laid down in Article 2, point 41, of Directive 2012/27/EU;	Construction, refurbishment and operation of pipelines and associated infrastructure for distribution of heating and cooling, ending at the sub-station or heat exchanger.	63
Transfer and licensing	Mosses and lichens	65
As already mentioned in recitals (87) and (169), the GOC did not provide any reply to the questionnaire concerning the existence of distortions.	The Commission also requested, as mentioned above in recital (44), the GOC to respond to a questionnaire concerning the alleged existence of distortions in the PRC.	69
only energy-reduced jams jellies and marmalades ’	only energy-reduced products or with no added sugar ’	63
Disclosure: Effective on first application of IFRS 9 IFRS 4.35D b	Disclosure: IFRS 12.21 c (ii), Disclosure: Expiry date 2023-01-01 IFRS 4.39J b, Disclosure: Effective on first application of IFRS 9 IFRS 4.39M b	60
PINOXADEN	QUINOXYFEN	63
In accordance with Article 7 (1) of Regulation (EC) No 1107/2009, Abiopep Plant Health S.L. submitted to Spain on 27 November 2017 an application for the approval of the active substances Pepino Mosaic Virus, EU strain, mild isolate Abp1 and Pepino Mosaic Virus, CH2 strain, mild isolate Abp2.	Conclusion on the peer review of the pesticide risk assessment of the active substances Pepino Mosaic Virus, EU strain, mild isolate Abp1 and Pepino Mosaic Virus, CH2 strain, mild isolate Abp2. EFSA Journal 2021; 19 (1): 6388.	63
MONTHLY ENERGY STATISTICS	ANNUAL NUCLEAR STATISTICS	68
The carrier shall be relieved of this liability:	The order shall be served on the parties forthwith.	63
Where necessary, the Commission may submit a legislative proposal to amend those indicators.	Based on that assessment, the Commission shall, where appropriate, submit a legislative proposal to amend the relevant provisions of this Directive.	62
The total cost of the upgrade shall not exceed 30% of the total acquisition cost of the original EuroHPC supercomputer.	The sum of all forms of combined support shall not exceed the total amount of the expenditure item concerned.	61
The COVID-19 pandemic that started in the first half of 2020 affected the situation on the EU market in various ways.	EFDA argued that the COVID-19 pandemic that started in the first half of 2020 caused the material injury suffered by the Union industry.	69
Total deposits from customers	Deposits from customers [abstract]	70
Pilot project — Integrity of social media	Pilot project — Media ownership monitor	62
Number of participants who applied for the recognition or assessment of qualifications or skills acquired in a third country.	Number of complaints for alternative investment options commercialised in the country	60
Adoption of decisions by the governing board may also be subject to any relevant specific rules set out in Part Two.	Actions funded by the joint undertakings under Horizon Europe may also be subject to any specific provisions set out in Part Two.	70
The allocation of such fishing opportunities among Member States is limited to 2022.	The allocation of fishing opportunities among Member States, as set out in this Regulation, shall be without prejudice to:	70
Opening roofs shall be considered only in the closed position.	If an opening or removable roof is fitted, it shall be in place and in the closed position.	65
